Indicator,Health Indicator Group,geo,year
upazilla_epi_Syringe (0.05 ml) closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2013
upazilla_epi_Syringe (0.1 ml) closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2013
upazilla_epi_Syringe (0.5 ml) closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2013
upazilla_epi_Syringe (3 ml) closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2013
upazilla_epi_Syringe (5 ml) closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2013
upazilla_epi_TT Card closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2013
upazilla_epi_TT closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2013
upazilla_epi_Tally Book (Women) closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2013
upazilla_epi_Tally Book (child) closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2013
upazilla_epi_Women Report Book closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2013
upazilla_epi_Women register closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2013
upazilla_epi_batch card closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2013
upazilla_epi_cc EPI supply book closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2013
upazilla_epi_daily vaccine distribution closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2013
upazilla_epi_fw product distribution closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2013
upazilla_epi_stock register for logistic closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2013
upazilla_epi_stock register for vaccine/diluent closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2013
upazilla_epi_supply book closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2013
upazilla_epi_temperature chart closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2013
upazilla_epi_zip lock bag closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2013
BCG Crude Coverage %,03Immunization,Upazila,2013
BCG left out Rate,03Immunization,Upazila,2013
BCG to MR 1 Drop out Rate,03Immunization,Upazila,2013
BCG to Penta 3 drop out Rate,03Immunization,Upazila,2013
BCG vial wastage rate,03Immunization,Upazila,2013
EPI Session drop out rate,03Immunization,Upazila,2013
IPV vial wastage rate,03Immunization,Upazila,2013
MR 1 Crude Coverage %,03Immunization,Upazila,2013
MR 1 to MR 2 drop out Rate,03Immunization,Upazila,2013
MR 2 Crude Coverage %,03Immunization,Upazila,2013
MR vial wastage rate,03Immunization,Upazila,2013
OPV 0 Crude Coverage %,03Immunization,Upazila,2013
OPV 1 Crude Coverage %,03Immunization,Upazila,2013
OPV 2 Crude Coverage %,03Immunization,Upazila,2013
OPV 3 Crude Coverage %,03Immunization,Upazila,2013
OPV vial wastage rate,03Immunization,Upazila,2013
PCV 1 Crude Coverage %,03Immunization,Upazila,2013
PCV 2 Crude Coverage %,03Immunization,Upazila,2013
PCV 3 Crude Coverage %,03Immunization,Upazila,2013
PCV vial wastage rate,03Immunization,Upazila,2013
Penta 1 Crude Coverage %,03Immunization,Upazila,2013
Penta 1 to MR 1 drop out Rate,03Immunization,Upazila,2013
Penta 1 to MR 2 drop out Rate,03Immunization,Upazila,2013
Penta 1 to Penta 3 drop out Rate,03Immunization,Upazila,2013
Penta 2 Crude Coverage %,03Immunization,Upazila,2013
Penta 3 Crude Coverage %,03Immunization,Upazila,2013
Pentavalent vial use and doses ratio,03Immunization,Upazila,2013
Pentavalent vial wastage rate,03Immunization,Upazila,2013
TT vial wastage rate,03Immunization,Upazila,2013
Total MR Given,03Immunization,Upazila,2013
Total OPV Given,03Immunization,Upazila,2013
Total PCV Given,03Immunization,Upazila,2013
Total Pentavalent Given,03Immunization,Upazila,2013
Total TT Given to 15 - 49 Y,03Immunization,Upazila,2013
Total TT Given to Pregnant Women,03Immunization,Upazila,2013
Total fIPV Given,03Immunization,Upazila,2013
fIPV1 Crude Coverage %,03Immunization,Upazila,2013
fIPV2 Crude Coverage %,03Immunization,Upazila,2013
% of female baby admitted in SCANU reported individually,04Newborn,Upazila,2013
% of male baby admitted in SCANU reported individually,04Newborn,Upazila,2013
Percentage of newborn who received postnatal care within two days of birth at facility,04Newborn,Upazila,2013
Percentage of newborns delivered by SBA at community that received CHX (7.1%) to the cord after birth,04Newborn,Upazila,2013
Percentage of newborns delivered by SBA at facility that received CHX (7.1%) to the cord after birth,04Newborn,Upazila,2013
Percentage of newborns initiated breastfeeding within one hour after birth,04Newborn,Upazila,2013
% of maternal death reported individually with causes of death,01MaternalHealth,Upazila,2013
Institutional C-section rate,01MaternalHealth,Upazila,2013
Institutional Normal Delivery Rate (Only EmOC Facilities),01MaternalHealth,Upazila,2013
Maternal Case fatality rate (EmOC),01MaternalHealth,Upazila,2013
Percentage of cases with puerperal sepsis among admitted patient in EmONC,01MaternalHealth,Upazila,2013
Percentage of postpartum hemorrhage among admitted patient in EmONC,01MaternalHealth,Upazila,2013
Proportion of cases with postpartum hemorrhage among admitted patient in EmONC,01MaternalHealth,Upazila,2013
Proportion of cases with puerperal sepsis among admitted patient in EmONC,01MaternalHealth,Upazila,2013
Total Complicated Mother,01MaternalHealth,Upazila,2013
Total No. of pregnant mothers with obstetric complication,01MaternalHealth,Upazila,2013
Total birth in EmONC facilities,01MaternalHealth,Upazila,2013
Total deliveries in EmONC facilities,01MaternalHealth,Upazila,2013
Total still birth at EmOC facility,01MaternalHealth,Upazila,2013
Percentage of functional ambulance,05Logistics,Upazila,2013
Percentage of functional x-ray,05Logistics,Upazila,2013
1st Visit ANC,AntenatalCare(ANC),Upazila,2013
2nd Visit ANC,AntenatalCare(ANC),Upazila,2013
3rd & more ANC,AntenatalCare(ANC),Upazila,2013
District EPI AEFI Form need with buffer,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI AEFI Investigation need with buffer,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI AEFI line listing form need with buffer,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI BCG diluent need with buffer,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI BCG diluent stock requested,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI BCG need with buffer,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI BCG stock requested,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI CC supply book need with buffer,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI Child Card need with buffer,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI Child Report Book need with buffer,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI Child register need with buffer,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI FW product distribution register need with buffer,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI IPV need with buffer,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI IPV stock requested,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI MR diluent need with buffer,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI MR diluent stock requested,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI MR need with buffer,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI MR stock requested,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI Moni Flag requested,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI Moni flag need with buffer,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI OPV dropper need with buffer,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI OPV dropper stock requested,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI OPV need with buffer,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI OPV stock requested,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI PCV need with buffer,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI PCV stock requested,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI Pentavalent need with buffer,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI Safety Box need with buffer,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI Safety box requested,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI Supervision Form need with buffer,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI Syringe (0.05 ml) need with buffer,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI Syringe (0.05 ml) stock requested,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI Syringe (0.1 ml) need with buffer,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI Syringe (0.1 ml) stock requested,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI Syringe (0.5 ml) need with buffer,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI Syringe (0.5 ml) stock requested,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI Syringe (5 ml) need with buffer,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI Syringe (5 ml) stock requested,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI Syringe(2/3ml) need with buffer,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI Syringe(2/3ml) stock requested,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI TT Card need with buffer,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI TT need with buffer,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI TT stock requested,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI Tally Book(Women) need with buffer,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI Tally Book(child) need with buffer,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI Women Report Book need with buffer,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI Women register need with buffer,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI batch card need with buffer,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI batch card requested,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI daily vaccine distribution register need with buffer,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI pentavalent stock requested,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI stock register for logistic need with buffer,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI stock register for vaccine/diluent need with buffer,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI supply book need with buffer,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI temperature chart need with buffer,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI total BCG Diluent supplied on 1st delivery,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI total BCG Diluent supplied on 2nd delivery,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI total BCG Diluent supplied on 3rd delivery,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI total BCG supplied on 1st delivery,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI total BCG supplied on 2nd delivery,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI total BCG supplied on 3rd delivery,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI total IPV supplied on 1st delivery,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI total IPV supplied on 2nd delivery,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI total IPV supplied on 3rd delivery,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI total MR Diluent supplied on 1st delivery,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI total MR Diluent supplied on 2nd delivery,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI total MR Diluent supplied on 3rd delivery,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI total MR supplied on 1st delivery,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI total MR supplied on 2nd delivery,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI total MR supplied on 3rd delivery,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI total OPV supplied on 1st delivery,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI total OPV supplied on 2nd delivery,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI total OPV supplied on 3rd delivery,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI total PCV supplied on 1st delivery,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI total PCV supplied on 2nd delivery,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI total PCV supplied on 3rd delivery,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI total Pentavalent supplied on 1st delivery,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI total Pentavalent supplied on 2nd delivery,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI total Pentavalent supplied on 3rd delivery,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI total TT supplied on 1st delivery,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI total TT supplied on 2nd delivery,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI total TT supplied on 3rd delivery,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District EPI zip lock bag need with buffer,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District FW product distribution register requested,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District Supervision Form requested,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District TT Card requested,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District Tally Book(Women) requested,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District Tally Book(child) requested,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District Women Report Book requested,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District Women register requested,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District daily vaccine distribution register requested,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District stock register for logistic requested,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District stock register for vaccine/diluent requested,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District supply book requested,06Vaccine&LogisticsstockofDistrict,Upazila,2013
District temperature chart requested,06Vaccine&LogisticsstockofDistrict,Upazila,2013
Safety box total supplied,06Vaccine&LogisticsstockofDistrict,Upazila,2013
Syringe (0.05 ml) total supplied,06Vaccine&LogisticsstockofDistrict,Upazila,2013
Syringe (0.1 ml) total supplied,06Vaccine&LogisticsstockofDistrict,Upazila,2013
Syringe (0.5 ml) total supplied,06Vaccine&LogisticsstockofDistrict,Upazila,2013
Syringe (3 ml) total supplied,06Vaccine&LogisticsstockofDistrict,Upazila,2013
Syringe (5 ml) total supplied,06Vaccine&LogisticsstockofDistrict,Upazila,2013
dist_epi_AEFI Form closing balance,06Vaccine&LogisticsstockofDistrict,Upazila,2013
dist_epi_AEFI Investigation form closing balance,06Vaccine&LogisticsstockofDistrict,Upazila,2013
dist_epi_AEFI form E36 - E39 closing balance,06Vaccine&LogisticsstockofDistrict,Upazila,2013
dist_epi_AEFI line listing form closing balance,06Vaccine&LogisticsstockofDistrict,Upazila,2013
dist_epi_BCG Diluent closing balance,06Vaccine&LogisticsstockofDistrict,Upazila,2013
dist_epi_BCG closing balance,06Vaccine&LogisticsstockofDistrict,Upazila,2013
dist_epi_Child Card closing balance,06Vaccine&LogisticsstockofDistrict,Upazila,2013
dist_epi_Child Report Book closing balance,06Vaccine&LogisticsstockofDistrict,Upazila,2013
dist_epi_Child register closing balance,06Vaccine&LogisticsstockofDistrict,Upazila,2013
dist_epi_Fridge Tag Temperature chart closing balance,06Vaccine&LogisticsstockofDistrict,Upazila,2013
dist_epi_IPV closing balance,06Vaccine&LogisticsstockofDistrict,Upazila,2013
dist_epi_MR Diluent closing balance,06Vaccine&LogisticsstockofDistrict,Upazila,2013
dist_epi_MR closing balance,06Vaccine&LogisticsstockofDistrict,Upazila,2013
dist_epi_Moni Flag closing balance,06Vaccine&LogisticsstockofDistrict,Upazila,2013
dist_epi_OPV closing balance,06Vaccine&LogisticsstockofDistrict,Upazila,2013
dist_epi_OPV dropper closing balance,06Vaccine&LogisticsstockofDistrict,Upazila,2013
dist_epi_PCV closing balance,06Vaccine&LogisticsstockofDistrict,Upazila,2013
dist_epi_Pentavalent closing balance,06Vaccine&LogisticsstockofDistrict,Upazila,2013
dist_epi_Safety Box closing balance,06Vaccine&LogisticsstockofDistrict,Upazila,2013
dist_epi_Supervision Form closing balance,06Vaccine&LogisticsstockofDistrict,Upazila,2013
dist_epi_Syringe (0.05 ml) closing balance,06Vaccine&LogisticsstockofDistrict,Upazila,2013
dist_epi_Syringe (0.1 ml) closing balance,06Vaccine&LogisticsstockofDistrict,Upazila,2013
dist_epi_Syringe (0.5 ml) closing balance,06Vaccine&LogisticsstockofDistrict,Upazila,2013
dist_epi_Syringe (3 ml) closing balance,06Vaccine&LogisticsstockofDistrict,Upazila,2013
dist_epi_Syringe (5 ml) closing balance,06Vaccine&LogisticsstockofDistrict,Upazila,2013
dist_epi_TT Card closing balance,06Vaccine&LogisticsstockofDistrict,Upazila,2013
dist_epi_TT closing balance,06Vaccine&LogisticsstockofDistrict,Upazila,2013
dist_epi_Tally Book (Women) closing balance,06Vaccine&LogisticsstockofDistrict,Upazila,2013
dist_epi_Tally Book (child) closing balance,06Vaccine&LogisticsstockofDistrict,Upazila,2013
dist_epi_Vaccine holder closing balance,06Vaccine&LogisticsstockofDistrict,Upazila,2013
dist_epi_Women Report Book closing balance,06Vaccine&LogisticsstockofDistrict,Upazila,2013
dist_epi_Women register closing balance,06Vaccine&LogisticsstockofDistrict,Upazila,2013
dist_epi_batch card closing balance,06Vaccine&LogisticsstockofDistrict,Upazila,2013
dist_epi_cc EPI supply book closing balance,06Vaccine&LogisticsstockofDistrict,Upazila,2013
dist_epi_daily vaccine distribution closing balance,06Vaccine&LogisticsstockofDistrict,Upazila,2013
dist_epi_fw product distribution closing balance,06Vaccine&LogisticsstockofDistrict,Upazila,2013
dist_epi_stock register for logistic closing balance,06Vaccine&LogisticsstockofDistrict,Upazila,2013
dist_epi_stock register for vaccine/diluent closing balance,06Vaccine&LogisticsstockofDistrict,Upazila,2013
dist_epi_supply book closing balance,06Vaccine&LogisticsstockofDistrict,Upazila,2013
dist_epi_temperature chart closing balance,06Vaccine&LogisticsstockofDistrict,Upazila,2013
dist_epi_zip lock bag closing balance,06Vaccine&LogisticsstockofDistrict,Upazila,2013
,True,District,2018
Percentage of functional ambulance,05Logistics,District,2018
Percentage of functional x-ray,05Logistics,District,2018
% of breast feeding initiated within 1 hour by CSBA,02ChildHealth,District,2018
% of neonatal death reported individually,02ChildHealth,District,2018
IMCI Stunting (%),02ChildHealth,District,2018
IMCI Total Child,02ChildHealth,District,2018
IMCI Underweight (%),02ChildHealth,District,2018
IMCI Wasting (%),02ChildHealth,District,2018
Neonatal Case fatality rate (EmOC),02ChildHealth,District,2018
Percentage of diarrhea reported at facility,02ChildHealth,District,2018
Percentage of pneumonia reported at facility,02ChildHealth,District,2018
BCG Crude Coverage %,03Immunization,District,2018
BCG left out Rate,03Immunization,District,2018
BCG to MR 1 Drop out Rate,03Immunization,District,2018
BCG to Penta 3 drop out Rate,03Immunization,District,2018
BCG vial wastage rate,03Immunization,District,2018
EPI Session drop out rate,03Immunization,District,2018
IPV vial wastage rate,03Immunization,District,2018
MR 1 Crude Coverage %,03Immunization,District,2018
MR 1 to MR 2 drop out Rate,03Immunization,District,2018
MR 2 Crude Coverage %,03Immunization,District,2018
MR vial wastage rate,03Immunization,District,2018
OPV 0 Crude Coverage %,03Immunization,District,2018
OPV 1 Crude Coverage %,03Immunization,District,2018
OPV 2 Crude Coverage %,03Immunization,District,2018
OPV 3 Crude Coverage %,03Immunization,District,2018
OPV vial wastage rate,03Immunization,District,2018
PCV 1 Crude Coverage %,03Immunization,District,2018
PCV 2 Crude Coverage %,03Immunization,District,2018
PCV 3 Crude Coverage %,03Immunization,District,2018
PCV vial wastage rate,03Immunization,District,2018
Penta 1 Crude Coverage %,03Immunization,District,2018
Penta 1 to MR 1 drop out Rate,03Immunization,District,2018
Penta 1 to MR 2 drop out Rate,03Immunization,District,2018
Penta 1 to Penta 3 drop out Rate,03Immunization,District,2018
Penta 2 Crude Coverage %,03Immunization,District,2018
Penta 3 Crude Coverage %,03Immunization,District,2018
Pentavalent vial use and doses ratio,03Immunization,District,2018
Pentavalent vial wastage rate,03Immunization,District,2018
TT vial wastage rate,03Immunization,District,2018
Total MR Given,03Immunization,District,2018
Total OPV Given,03Immunization,District,2018
Total PCV Given,03Immunization,District,2018
Total Pentavalent Given,03Immunization,District,2018
Total TT Given to 15 - 49 Y,03Immunization,District,2018
Total TT Given to Pregnant Women,03Immunization,District,2018
Total fIPV Given,03Immunization,District,2018
fIPV1 Crude Coverage %,03Immunization,District,2018
fIPV2 Crude Coverage %,03Immunization,District,2018
% of maternal death reported individually with causes of death,01MaternalHealth,District,2018
Institutional C-section rate,01MaternalHealth,District,2018
Institutional Normal Delivery Rate (Only EmOC Facilities),01MaternalHealth,District,2018
Maternal Case fatality rate (EmOC),01MaternalHealth,District,2018
Percentage of cases with puerperal sepsis among admitted patient in EmONC,01MaternalHealth,District,2018
Percentage of postpartum hemorrhage among admitted patient in EmONC,01MaternalHealth,District,2018
Proportion of cases with postpartum hemorrhage among admitted patient in EmONC,01MaternalHealth,District,2018
Proportion of cases with puerperal sepsis among admitted patient in EmONC,01MaternalHealth,District,2018
Total Complicated Mother,01MaternalHealth,District,2018
Total No. of pregnant mothers with obstetric complication,01MaternalHealth,District,2018
Total birth in EmONC facilities,01MaternalHealth,District,2018
Total deliveries in EmONC facilities,01MaternalHealth,District,2018
Total still birth at EmOC facility,01MaternalHealth,District,2018
% of Nurse training on ETAT at SCANU,04Newborn,District,2018
% of female baby admitted in SCANU reported individually,04Newborn,District,2018
% of female baby admitted in SCANU reported monthly,04Newborn,District,2018
% of functional Radiant warmer,04Newborn,District,2018
% of male baby admitted in SCANU reported individually,04Newborn,District,2018
% of male baby admitted in SCANU reported monthly,04Newborn,District,2018
% of non functional Photo therapy unit,04Newborn,District,2018
% of non-functioning Table Resuscitator with Radiant warmer,04Newborn,District,2018
% of nurse allocated in SCANU among all nurses in the facility,04Newborn,District,2018
% of nurse trained on IMCI working at SCANU,04Newborn,District,2018
% of nurse training on KMC at SCANU,04Newborn,District,2018
% of referral cases admitted at SCANU,04Newborn,District,2018
Case fatality rate at SCANU,04Newborn,District,2018
Consultant Bed ratio at SCANU (Recommended 0.1),04Newborn,District,2018
Doctor Bed ratio at SCANU (Recommended 0.4),04Newborn,District,2018
Medical Officer Bed ratio at SCANU (Recommended 0.3),04Newborn,District,2018
Nurse Bed ratio at SCANU (Recommended 0.8),04Newborn,District,2018
Percentage of newborn who received postnatal care within two days of birth at facility,04Newborn,District,2018
Percentage of newborns delivered by SBA at community that received CHX (7.1%) to the cord after birth,04Newborn,District,2018
Percentage of newborns delivered by SBA at facility that received CHX (7.1%) to the cord after birth,04Newborn,District,2018
Percentage of newborns initiated breastfeeding within one hour after birth,04Newborn,District,2018
District EPI AEFI Form need with buffer,06Vaccine&LogisticsstockofDistrict,District,2018
District EPI AEFI Investigation need with buffer,06Vaccine&LogisticsstockofDistrict,District,2018
District EPI AEFI line listing form need with buffer,06Vaccine&LogisticsstockofDistrict,District,2018
District EPI BCG diluent need with buffer,06Vaccine&LogisticsstockofDistrict,District,2018
District EPI BCG diluent stock requested,06Vaccine&LogisticsstockofDistrict,District,2018
District EPI BCG need with buffer,06Vaccine&LogisticsstockofDistrict,District,2018
District EPI BCG stock requested,06Vaccine&LogisticsstockofDistrict,District,2018
District EPI CC supply book need with buffer,06Vaccine&LogisticsstockofDistrict,District,2018
District EPI Child Card need with buffer,06Vaccine&LogisticsstockofDistrict,District,2018
District EPI Child Report Book need with buffer,06Vaccine&LogisticsstockofDistrict,District,2018
District EPI Child register need with buffer,06Vaccine&LogisticsstockofDistrict,District,2018
District EPI FW product distribution register need with buffer,06Vaccine&LogisticsstockofDistrict,District,2018
District EPI IPV need with buffer,06Vaccine&LogisticsstockofDistrict,District,2018
District EPI IPV stock requested,06Vaccine&LogisticsstockofDistrict,District,2018
District EPI MR diluent need with buffer,06Vaccine&LogisticsstockofDistrict,District,2018
District EPI MR diluent stock requested,06Vaccine&LogisticsstockofDistrict,District,2018
District EPI MR need with buffer,06Vaccine&LogisticsstockofDistrict,District,2018
District EPI MR stock requested,06Vaccine&LogisticsstockofDistrict,District,2018
District EPI Moni Flag requested,06Vaccine&LogisticsstockofDistrict,District,2018
District EPI Moni flag need with buffer,06Vaccine&LogisticsstockofDistrict,District,2018
District EPI OPV dropper need with buffer,06Vaccine&LogisticsstockofDistrict,District,2018
District EPI OPV dropper stock requested,06Vaccine&LogisticsstockofDistrict,District,2018
District EPI OPV need with buffer,06Vaccine&LogisticsstockofDistrict,District,2018
District EPI OPV stock requested,06Vaccine&LogisticsstockofDistrict,District,2018
District EPI PCV need with buffer,06Vaccine&LogisticsstockofDistrict,District,2018
District EPI PCV stock requested,06Vaccine&LogisticsstockofDistrict,District,2018
District EPI Pentavalent need with buffer,06Vaccine&LogisticsstockofDistrict,District,2018
District EPI Safety Box need with buffer,06Vaccine&LogisticsstockofDistrict,District,2018
District EPI Safety box requested,06Vaccine&LogisticsstockofDistrict,District,2018
District EPI Supervision Form need with buffer,06Vaccine&LogisticsstockofDistrict,District,2018
District EPI Syringe (0.05 ml) need with buffer,06Vaccine&LogisticsstockofDistrict,District,2018
District EPI Syringe (0.05 ml) stock requested,06Vaccine&LogisticsstockofDistrict,District,2018
District EPI Syringe (0.1 ml) need with buffer,06Vaccine&LogisticsstockofDistrict,District,2018
District EPI Syringe (0.1 ml) stock requested,06Vaccine&LogisticsstockofDistrict,District,2018
District EPI Syringe (0.5 ml) need with buffer,06Vaccine&LogisticsstockofDistrict,District,2018
District EPI Syringe (0.5 ml) stock requested,06Vaccine&LogisticsstockofDistrict,District,2018
District EPI Syringe (5 ml) need with buffer,06Vaccine&LogisticsstockofDistrict,District,2018
District EPI Syringe (5 ml) stock requested,06Vaccine&LogisticsstockofDistrict,District,2018
District EPI Syringe(2/3ml) need with buffer,06Vaccine&LogisticsstockofDistrict,District,2018
District EPI Syringe(2/3ml) stock requested,06Vaccine&LogisticsstockofDistrict,District,2018
District EPI TT Card need with buffer,06Vaccine&LogisticsstockofDistrict,District,2018
District EPI TT need with buffer,06Vaccine&LogisticsstockofDistrict,District,2018
District EPI TT stock requested,06Vaccine&LogisticsstockofDistrict,District,2018
District EPI Tally Book(Women) need with buffer,06Vaccine&LogisticsstockofDistrict,District,2018
District EPI Tally Book(child) need with buffer,06Vaccine&LogisticsstockofDistrict,District,2018
District EPI Women Report Book need with buffer,06Vaccine&LogisticsstockofDistrict,District,2018
District EPI Women register need with buffer,06Vaccine&LogisticsstockofDistrict,District,2018
District EPI batch card need with buffer,06Vaccine&LogisticsstockofDistrict,District,2018
District EPI batch card requested,06Vaccine&LogisticsstockofDistrict,District,2018
District EPI daily vaccine distribution register need with buffer,06Vaccine&LogisticsstockofDistrict,District,2018
District EPI pentavalent stock requested,06Vaccine&LogisticsstockofDistrict,District,2018
District EPI stock register for logistic need with buffer,06Vaccine&LogisticsstockofDistrict,District,2018
District EPI stock register for vaccine/diluent need with buffer,06Vaccine&LogisticsstockofDistrict,District,2018
District EPI supply book need with buffer,06Vaccine&LogisticsstockofDistrict,District,2018
District EPI temperature chart need with buffer,06Vaccine&LogisticsstockofDistrict,District,2018
District EPI total BCG Diluent supplied on 1st delivery,06Vaccine&LogisticsstockofDistrict,District,2018
