"Source","File","Variable","Description"
"MICS5","wm5","PN13F","Person checking on baby's health: Traditional birth attendant"
"MICS5","wm5","PN13G","Person checking on baby's health: Community health worker"
"MICS5","wm5","PN13H","Person checking on baby's health: Relative / Friend"
"MICS5","wm5","PN13X","Person checking on baby's health: Other"
"MICS5","wm5","PN14","Place where baby's health was checked"
"MICS5","wm5","PN16","Mother's health checked after leaving health facility"
"MICS5","wm5","PN18","Mother's health checked after the delivery was over"
"MICS5","wm5","PN19","Mother's health checked after the birth of the baby"
"MICS5","wm5","PN20","Number of times mother's health was checked after the birth"
"MICS5","wm5","PN21U","How long after delivery did the first check of mother happen (unit)"
"MICS5","wm5","PN21N","How long after delivery did the first check of mother happen (number)"
"MICS5","wm5","PN22A","Person checking on mother's health: Doctor"
"MICS5","wm5","PN22B","Person checking on mother's health: Nurse / Midwife"
"MICS5","wm5","PN22C","Person checking on mother's health: Auxiliary midwife"
"MICS5","wm5","PN22F","Person checking on mother's health: Traditional birth attendant"
"MICS5","wm5","PN22G","Person checking on mother's health: Community health worker"
"MICS5","wm5","PN22H","Person checking on mother's health: Relative / Friend"
"MICS5","wm5","PN22X","Person checking on mother's health: Other"
"MICS5","wm5","PN23","Place where mother's health was checked"
"MICS5","wm5","CP1","Currently pregnant"
"MICS5","wm5","CP2","Currently using a method to avoid pregnancy"
"MICS5","wm5","CP2A","Ever used method to avoid pregnancy"
"MICS5","wm5","CP3A","Current method: Female sterilization"
"MICS5","wm5","CP3B","Current method: Male sterilization"
"MICS5","wm5","CP3C","Current method: IUD"
"MICS5","wm5","CP3D","Current method: Injectables"
"MICS5","wm5","CP3E","Current method: Implants"
"MICS5","wm5","CP3F","Current method: Pill"
"MICS5","wm5","CP3G","Current method: Male condom"
"MICS5","wm5","CP3H","Current method: Female condom"
"MICS5","wm5","CP3I","Current method: Diaphragm"
"MICS5","wm5","CP3J","Current method: Foam / Jelly"
"MICS5","wm5","CP3K","Current method: Lactational amenorrhoea method"
"MICS5","wm5","CP3L","Current method: Periodic abstinence / Rhythm"
"MICS5","wm5","CP3M","Current method: Withdrawal"
"MICS5","wm5","CP3X","Current method: Other"
"MICS5","wm5","UN2","Wanted to get pregnant at the time"
"MICS5","wm5","UN3","Wanted baby later or did not want more children"
"MICS5","wm5","UN4","Would like to have another child (currently pregnant)"
"MICS5","wm5","UN6","Would like to have another child (not currently pregnant)"
"MICS5","wm5","UN7U","Desired waiting time (unit)"
"MICS5","wm5","UN7N","Desired waiting time (number)"
"MICS5","wm5","UN10","Able to get pregnant"
"MICS5","wm5","UN11A","Reason: Infrequent sex / No sex"
"MICS5","wm5","UN11B","Reason: Menopausal"
"MICS5","wm5","UN11C","Reason: Never menstruated"
"MICS5","wm5","UN11D","Reason: Hysterectomy"
"MICS5","wm5","UN11E","Reason: Trying to get pregnant for 2 years without result"
"MICS5","wm5","UN11F","Reason: Postpartum amenorrheic"
"MICS5","wm5","UN11G","Reason: Breastfeeding"
"MICS5","wm5","UN11H","Reason: Too old"
"MICS5","wm5","UN11I","Reason: Fatalistic"
"MICS5","wm5","UN11X","Reason: Other"
"MICS5","wm5","UN11Z","Reason: Don't know"
"MICS5","wm5","UN13U","Start of last menstrual period (unit)"
"MICS5","wm5","UN13N","Start of last menstrual period (number)"
"MICS5","wm5","IS2A","Symptoms: Child not able to drink or breastfeed"
"MICS5","wm5","IS2B","Symptoms: Child becomes sicker"
"MICS5","wm5","IS2C","Symptoms: Child develops a fever"
"MICS5","wm5","IS2D","Symptoms: Child has fast breathing"
"MICS5","wm5","IS2E","Symptoms: Child has difficult breathing"
"MICS5","wm5","IS2F","Symptoms: Child has blood in stools"
"MICS5","wm5","IS2G","Symptoms: Child is drinking poorly"
"MICS5","wm5","IS2H","Symptoms: Child has diarrhoea"
"MICS5","wm5","IS2X","Symptoms: Other"
"MICS5","wm5","IS2Y","Symptoms: Other"
"MICS5","wm5","IS2Z","Symptoms: Other"
"MICS5","wm5","HA1","Ever heard of AIDS"
"MICS5","wm5","HA2","Can avoid AIDS virus by having one uninfected partner"
"MICS5","wm5","HA3","Can get AIDS virus through supernatural means"
"MICS5","wm5","HA4","Can avoid AIDS virus by using a condom correctly every time"
"MICS5","wm5","HA5","Can get AIDS virus from mosquito bites"
"MICS5","wm5","HA6","Can get AIDS virus by sharing food with a person who has AIDS"
"MICS5","wm5","HA7","Healthy-looking person may have AIDS virus"
"MICS5","wm5","HA8A","AIDS virus from mother to child during pregnancy"
"MICS5","wm5","HA8B","AIDS virus from mother to child during delivery"
"MICS5","wm5","HA8C","AIDS virus from mother to child through breastfeeding"
"MICS5","wm5","HA9","Should female teacher with AIDS virus be allowed to teach in school"
"MICS5","wm5","HA10","Would buy fresh vegetables from shopkeeper with AIDS virus"
"MICS5","wm5","HA11","If HH member became infected with AIDS virus, would want it to remain a secret"
"MICS5","wm5","HA12","Willing to care for person with AIDS in household"
"MICS5","wm5","HA15A","Given information about AIDS virus during antenatal care visit: AIDS from mother"
"MICS5","wm5","HA15B","Given information about AIDS virus during antenatal care visit: Things to do"
"MICS5","wm5","HA15C","Given information about AIDS virus during antenatal care visit: Tested for AIDS"
"MICS5","wm5","HA27","Know a place to get AIDS virus test"
"MICS5","wm5","HH6","Area"
"MICS5","wm5","HH7","Division"
"MICS5","wm5","HH7A","District"
"MICS5","wm5","WDOI","Date of interview women (CMC)"
"MICS5","wm5","WDOB","Date of birth of woman (CMC)"
"MICS5","wm5","WAGE","Age"
"MICS5","wm5","WDOM","Date of marriage (CMC)"
"MICS5","wm5","WAGEM","Age at first marriage"
"MICS5","wm5","WDOBFC","Date of birth of first child (CMC)"
"MICS5","wm5","WDOBLC","Date of birth of last child (CMC)"
"MICS5","wm5","MSTATUS","Marital status"
"MICS5","wm5","CEB","Children ever born"
"MICS5","wm5","CSURV","Children surviving"
"MICS5","wm5","CDEAD","Children dead"
"MICS5","wm5","welevel","Education"
"MICS5","wm5","religion","Religion of household head"
"MICS5","wm5","wmweight","Women's sample weight"
"MICS5","wm5","wscore","Combined wealth score"
"MICS5","wm5","windex5","Wealth index quintile"
"MICS5","wm5","wscoreu","Urban wealth score"
"MICS5","wm5","windex5u","Urban wealth index quintile"
"MICS5","wm5","wscorer","Rural wealth score"
"MICS5","wm5","windex5r","Rural wealth index quintile"
